Слово,Перевод,Пример из главы
이름,имя,"이름이 뭐예요?"
직업,профессия / работа,"직업이 뭐예요?"
국적,гражданство / национальность,"제 국적은 한국이에요."
어느,какой / который,"어느 나라 사람이에요?"
나라,страна,"어느 나라 사람이에요?"
사람,человек,"필리핀 사람이에요."
한국,Корея,"저는 한국 사람이에요."
필리핀,Филиппины,"안젤라예요. 회사원이에요. 필리핀 사람이에요."
미국,США / Америка,"미국 뉴욕에서 왔어요."
이집트,Египет,"라민 씨는 이집트 사람이에요."
중국,Китай,"이링 씨는 중국 사람이에요."
방글라데시,Бангладеш,"라흐만 씨는 방글라데시 사람이에요."
선생님,учитель / преподаватель,"저는 영어 선생님이에요."
회사원,офисный сотрудник,"안젤라는 회사원이에요."
영어 강사,преподаватель английского языка,"제이슨 씨는 영어 강사예요."
학생,студент / учащийся,"라민은 학생이에요."
공장 직원,работник завода / фабрики,"라흐만은 공장 직원이에요."
판매원,продавец,"이링은 판매원이에요."
주부,домохозяйка,"가: 고천 씨는 주부예요? 나: 네, 저는 주부예요."
초등학생,ученик начальной школы,"박술기는 초등학생이에요."
뉴욕,Нью-Йорк,"미국 뉴욕에서 왔어요."
영어,английский язык,"저는 영어 선생님이에요."
한국어,корейский язык,"제이슨 씨는 한국어 선생님이에요?"
